Id,target,pred
0067aaaa500b530c76b9c91af34b4cb8,0.98,0.6884340995652175
006cda7fec46a527f9f627f4722a2304,0.34,0.2936268686956521
00b151a572c9aabedf8cfce0fa18be25,0.21,0.3257048226086957
00d560ebe5e1b2450eb530a2c96d08a3,0.67,0.5487325913043478
00eb7cc3d158a6addbcbde1f267d7d15,0.47,0.4356105652173913
00fb5be5bf4e956ea4abb99f41c0b9ec,0.42,0.36519191608695656
019211a7207432cc8229f19979b9df5d,0.17,0.2378619660869565
01a4d7b6a0aec61f115ba3407ac3cb38,0.35,0.31173573304347824
01b50a31cb6217bf25fad8fb21815ae2,0.21,0.506676712173913
01e46cec0d4c2d3131ea0a46633d7d74,0.41,0.5028978447826087
023d98cfe386a7f75d6c112c3aedc0ae,0.57,0.5080566400000001
029141b506deb62d9c9e30cb52c952c4,0.6,0.44028108000000005
03940f7c2354884d7ccd1e27bc54b31a,0.32,0.23694909217391305
03bfbe6d31c6c3ac48e726d2a9024e28,0.31,0.31738281260869555
03d82e64d1b4d99f457259f03ebe604d,0.38,0.3240595269565217
03ebff6d254041b93adfc089d8837ef8,0.53,0.3965268343478261
041f41a9645a19b8de619f97d9a0f509,0.19,0.26178774608695654
04a547d636ce6f9a7b002868da29882a,0.28,0.3546726391304348
050ab8059a28a24723d621709f4db97c,0.54,0.6280995260869563
05a29b13c5a73d51e882c759916c74d6,0.1,0.2626793908695652
05c23d6c30f8d0b5534f7a9884a2c868,0.26,0.3754033617391304
05e892df5b8cbb4f67068aeacff1c95d,0.16,0.34417459260869565
06e60e1a6ef55fdabc2453d5d8be4235,0.42,0.3130625852173913
07032137f9f2fb98136e0862938f54a7,0.31,0.28869098347826083
076486fed936d9fe5bdc24112410d07b,0.88,0.4300696317391303
077526aac3efbe2a60b625d180e7517c,0.35,0.338283372173913
07c8b381214c2ad869a345a6755d852a,0.28,0.3005530308695652
07feb8724b37df6c900d009ee2cb84df,0.27,0.29776133652173914
08447e4868845dd8c4dfc2f8ec2bd1cc,0.21,0.2413117769565217
0886eb642f3fe20891b06e090652e6f3,0.36,0.30020805130434786
08fb42f2ab1b661b82bb9e7099f8194a,0.43,0.36561650739130425
093a98eacf91b2ec104fc1da28c60dc3,0.35,0.24838124173913043
09f4b49020e55cc8f7674dbd79f2a058,0.32,0.280793562173913
0a12576d99ec278f415c51f47279e89a,0.5,0.34231699913043473
0a31ad2d6c941a39465ab8b813f958c7,0.45,0.35744310478260866
0a5640593c5e003a0b9c1cda9845deb7,0.14,0.3428265130434782
0ad2f505b8106ddda6790c8d1a63557d,0.31,0.34343686173913035
0b04f9560a1f429b7c48e049bcaffcca,0.24,0.24101987086956522
0b4cb561ee2242a29c0c6fe7dfc29be5,0.63,0.7214249352173912
0c2e546faade3a856a45c02670f968d7,0.37,0.33220108869565224
0c88efe2fbd7d8b1ce3bfef57b0d6483,0.3,0.31026027521739125
0cd6b03b76b5e5fbed612667f457f8cf,0.29,0.28116508
0d4b796c33e07e65ec75dfd46af9df18,0.27,0.39840565565217384
0da2ed94d90fb226b0ea58c78f517560,0.43,0.2612835413043478
0da86513c331870fdcc9d392c60ea8a2,0.12,0.33212678260869566
0ecffe437b3316acf00a8a074bd63a5d,0.17,0.2690960421739131
